arktik	cmevla			      	北冰洋
tcana	gismu			      	x_1是传输/交通/分配系统/网络x_2中的节点/站点	参见 {dargu}, {litru}, {pluta}, {trene}, {ciste}, ve {mrilu}, {tivni}, {cradi}, ve {benji}, {fonxa}, {dikca}, {fatri}.
tcati	gismu			      	x_1是茶，浸泡/酿造自植物x_2（叶片/花瓣等）	参见 {ckafi}.
tcena	gismu   	-ten-		      	x_1伸展/延展/扩展到范围x_2，在维度/尺寸x_3方面，从原范围x_4	参见 {kuspe}, {pruni}, {preja}, {ranji}, {trati}.
tcica	gismu   	-tic-		      	x_1（事件/经历）误导/愚弄/欺骗x_2进入状态/事件x_3中	（施事的）愚弄/误导/欺骗={ticygau}/{ticyzu'e}；x_3可能是x_2某一部分上的行为或状态；不暗示有害的目的或结果；{malticyzu'e}具有有害的目的或结果；自欺= {sezytcica}；误导/欺骗……进入某种行为/状态= {ticyxlu}；误导的信条= {tickri}；欺骗/说谎= {ticysku}/{jifsku}；无恶意的谎言={zanticysku}；参见 {stace}, {xlura}, {stidi}, {kajde}.
tcidu	gismu   	-tid-		      	x_1阅读x_2（文本），从阅读材料/文档x_3中；x_1是阅读者	参见 {ciska}, {cukta}, {karni}.
tcika	gismu			      	x_1（时分秒）是事件/状态x_2的时,刻，在日期x_3，在位置x_4	x_1位的时间单位可由由pi'e连接的数字构成，也可由由joi连接的各单位值连接而成；参见 {ti'u}, {cacra}, {cerni}, {detri}, {donri}, {djedi}, {junla}, {nicte}, {mentu}, {snidu}, {temci}, {vanci}, {dirba}, {mokca}.
tcila	gismu   	-til-		      	x_1是x_2的细节描述/特写/详情	参见 {diklo}, {steci}.
tcima	gismu   	-tim-   	-ti'a-	      	x_1是地点/区域x_2处的天气/气候；x_1是关于气象的	气候= {citsyti'a}, {timymo'a}；参见 {brife}, {bumru}, {carvi}, {dilnu}, {bratu}.
tcini	gismu			      	x_1（状态/性质）是x_2所处的环境/条件/情形	指物体/事件/进程阶段/状态所处的环境或情形，可能只是暂时的；参见 {stuzi}, {zvati}, {vanbi}, ve {pruce}, {ckaji}, {zasni}.
tcita	gismu			      	x_1是x_2的标签/标注，展现信息x_3	参见 {sinxa}, {cmene}, {judri}.
tcunCIN	cmevla			      	重庆
temci	gismu   	-tem-   	-tei-	      	x_1是时间间隔/长度/区间，从时刻/事件x_2到时刻/事件x_3	年龄/持续时间= {niltei}；参见 {cacra}, {cedra}, {citsi}, {ranji}, {tcika}, {junla}, {renvi}.
tenfa	gismu   	-tef-		      	x_1是底数为x_2，指数为x_3的指数结果	参见 {dugri}.
tengu	gismu   	-teg-   	-te'u-	      	x_1（ka）是x_2的结构	参见 {rufsu}, {xutla}.
terdi	gismu   	-ted-		      	x_1是种族x_2的母星（默认为地球）；x_1是关于地球的	参见 {lunra}, {plini}, {solri}, {kensa}, {tsani}, {dertu}.
terpa	gismu   	-tep-   	-te'a-	      	x_1害怕/恐惧/畏惧x_2（事件/tu'a 物体）	也指：x_1对x_2感到恐惧；x_2是可怕的/吓人的/让人畏惧的；参见 {snura}, {xalni}, {xanka}, {virnu}.
terto	gismu   	-tet-		      	x_1是十的十二次方个/份[10^12]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
tienjin	cmevla			      	天津
tigni	gismu   	-tig-		      	x_1表演x_2（节目）给观众x_3	参见 {jarco}.
tikpa	gismu   	-tip-		      	x_1踢x_2上的位置x_3，用来踢的脚/腿是x_4	参见 {tunta}, {darxi}.
tilju	gismu   	-tij-		      	x_1是重的/沉重的（在质量/重量上），基于标准x_2	参见 {linto}, {carmi}, se {junri}用于比喻, {bunda}, {junta}
tinbe	gismu   	-tib-		      	x_1服从/听从命令/规则x_2，由x_3发布/颁布；x_1是顺从的	参见 {minde}, {lacri}, {javni}, {flalu}, {zekri}.
tinci	gismu			      	x_1是锡/由锡构成[Sn]	参见 {gunma}, {lante}, {boxfo}, {cnisa}, {jinme}.
tinsa	gismu			      	x_1是僵硬的/僵直的/顽固的/不可弯曲的，在方向x_2上，对抗力x_3，在条件x_4下	也指：坚固的；并不限于指物理上的力量，也可指精神的刚度，意志的强度； 参见 {bapli}, {jdari}, {nandu}, {torni}, {trati}, {xarnu}, {danre}, {stodi}.
tirna	gismu   	-tin-		      	x_1听见x_2，在背景/噪声环境x_2中；x_2是可被听见的；x_1是关于听觉的	参见 {kerlo}, {sance}, {smaji}, {savru}, {voksa}, {ganse}, {zgana}.
tirse	gismu   	-tir-		      	x_1是铁/由铁构成[Fe]	x_1是铁的/含铁的；参见 {jinme}, {gasta}, {molki}.
tirxu	gismu			      	x_1是虎/豹，属于品种/种类x_2，带有花色x_3	指具有斑纹特征（豹纹/虎斑）的大型猫科动物；参见 {mlatu}.
tisna	gismu   	-tis-		      	x_1（物体）被材料x_2充满/充塞/填充；x_2被注入x_1中	暗示结果是：产生一定的填充/充满；（施事的）填充 = {tisyse'a}/{tisygau}/{tisyzu'e}；充气={gacytisna}，（施事的）充气={gacyse'a}；充液/灌注液体= {liktisna}，（施事的）灌注液体={likse'a}；参见 {culno}, {kunti}, {rinci}, {setca}.
titla	gismu   	-tit-		      	x_1是甜的，对于观察者x_2来说	参见 {sakta}, {slari}, {kurki}.
tivni	gismu   	-tiv-		      	x_1广播节目x_2，通过信道/媒介x_3，给节目接收者x_4；（可指广播广播和电视节目）	也指：x_1广播者/广播公司/广播员；x_2节目安排（团体）/节目（个体）；参见 {cradi}, {skina}, {vidni}, {benji}, {tcana}.
tixnu	gismu   	-tix-   	-ti'u-	      	x_1是x_2的女儿（不必要一定是生物学上的女儿）	参见 {bersa}, {panzi}.
toknu	gismu   	-tok-		      	x_1是用以烘烤/加热/干燥x_2的烤箱/炉/灶	参见 {nanba}.
toldi	gismu   	-tod-		      	x_1是蝶/蛾，属于品种/种类x_2	参见 {cinki}.
tolvut	cmevla			      	狂犬病	参见：{tolvutu}（狂犬病，属gismu）
tonga	gismu   	-tog-   	-to'a-	      	x_1是频率/音高x_2的声音的音色/音调，来源于x_3	参见 {rilti}, {zgike}, {janbe}, {siclu}.
tordu	gismu   	-tor-   	-to'u-	      	x_1是短的，在尺寸/规格/方向x_2上，基于测量标准x_3	参见 {cmalu}, {jarki}, {caxno}, {cinla}, {clani}.
torni	gismu   	-ton-   	-to'i-	      	x_1在力/负荷/扭力x_2的作用下扭曲/扭转	参见 {tinsa}, {trati}.
traji	gismu   	-rai-		      	x_1是最高级的，在性质x_2（ka）上，是最x_3的（ka，默认为ka zmadu），在集合/范围x_4中	也指：x_1是最x_3的，在性质x_2上，比较范围x_4中；x_1是x_4中最x_3的；参见 {rai}, {jimte}, {milxe}, {mutce}, {banli}, {curve}, {fanmo}, {krasi}, {manfo}, {prane}
trano	gismu			      	x_1是氮/含氮的/氮化物（如：氨/硝酸盐等）	参见 {vacri}.
trati	gismu			      	x_1是紧绷的/绷紧的/拉紧的，在方向x_2上	参见 {tinsa}, {torni}, {tagji}, {tcena}, {kluza}.
trene	gismu   	-ren-   	-re'e-	      	x_1是火车/有轨车，由车厢x_2（团）组合而成，沿轨道/铁道x_3运行，由x_4驱动	火车/地铁={tu'unre'e}；地铁/有轨电车= {lajre'e}；过山车= {dadre'e}；缆车= {cildadre'e}；参见 {tcana}.
tricu	gismu   	-ric-		      	x_1是树，属于物种/种类x_2	参见 {cindu}, {ckunu}, {pezli}, {mudri}, {spati}.
trina	gismu   	-tri-		      	x_1吸引/诱惑x_2（人/事），通过性质x_3（ka）	也指：x_1是诱人的，对x_2来说；参见 {djica}, {nelci}, {rigni}, {xlura}, {maksi}.
trixe	gismu   	-rix-   	-ti'e-	      	x_1在x_2背后/后面，基于参考系x_3 （x_2面对x_3）	也指：x_3是x_2取向的标准；脊柱= {rixybo'u}/{rixybo'ukamju}；参见 {crane}, {rebla}, {mlana}, {pritu}, {zunle}.
troci	gismu   	-toc-   	-toi-	      	x_1尝试做/达到/完成x_2（状态/事件/性质），通过行为/方法x_3	也指：试验；参见 {fliba}, {snada}, {cipra}.
troneim	cmevla			      	特隆赫姆（又译特伦汗）	挪威第三大城市，教育、科技、医药研究中心。
tsali	gismu   	-tsa-		      	x_1是强的/有力的，在性质/品质x_2上，基于标准x_3	参见 {ralci}, {ruble}, {carmi}, {vlipa}.
tsani	gismu   	-tan-		      	x_1是位置x_2处的天空	参见 {gapru}, {kensa}, {tarci}, {terdi}.
tsapi	gismu			      	x_1是辅料/佐料/调料/调味品，能带来风味/影响x_2	也指：x_1给x_2（tu'a）加味；参见 {vrusi}.
tsiju	gismu   	-tsi-		      	x_1是有机体x_2的种子/孢子（身体部位），能繁殖/产生子代/后代x_3	也指：胚细胞/受精卵；暗示具备自我发育的潜力；参见 {tarbi}, {dembi}, {grute}, {jbari}, {sombo}, {spati}, {sovda}.
tsina	gismu   	-sin-		      	x_1是位于x_2处/上的平台，以支撑x_3，由材料x_4做成	x_3物体/事件；参见 {greku}, {jubme}.
tubnu	gismu   	-tu'u-		      	x_1是管/管道，由材料x_2制成，空心材料为x_3	也指：管状物；参见 {kevna}, {canlu}.
tugni	gismu   	-tug-   	-tu'i-	      	x_1同意/赞成人/派别x_2的意见/观点x_3（du'u），关于问题x_4	参见 {sarxe}, {mapti}, {darlu}, {natfe}, {panpi}, {sarji}.
tujli	gismu   	-tuj-		      	x_1是郁金香，属于物种/种类x_2	参见 {spati}.
tumla	gismu   	-tum-   	-tu'a-	      	x_1是土地/是与地形/地势有关的	参见 {vacri}, {xamsi}, {tutra}不限定于土地, {gugde}, {xamsi}
tunba	gismu   	-tub-		      	x_1是x_2的兄弟姐妹，依据标准/关系x_3	参见 {bruna}, {mensi}, {tamne}.
tunka	gismu   	-tuk-		      	x_1是铜/由铜构成[Cu]	参见 {jinme}, {lastu}, {ransu}.
tunlo	gismu   	-tul-   	-tu'o-	      	x_1吞咽	x_1吞咽食物/饮料；被吞下= {tulpinxe}, {tulcti}, {ctitu'o}； 吞下/咽下= {galxycti}, {galxynerbi'o}, {galxygre}；参见 {citka}, {pinxe}, {galxe}.
tunta	gismu   	-tun-		      	x_1（物体）刺/戳x_2	（施事的）刺/戳= {tungau}/{tunzu'e}；参见 {balre}, {dakfu}, {darxi}, {fanza}, {jicla}, {katna}, {tikpa}.
tuple	gismu   	-tup-   	-tu'e-	      	x_1是x_2的腿（身体部位）	参见 {stani}, {zbepi}, {jamfu}, {jimca}, {sanli}.
turko	experimental gismu			      	x_1是关于土耳其的文化/国家/语言等的事物，在x_2方面
turni	gismu   	-tru-		      	x_1管辖/管理/统治人民/领土/产业x_2	x_2位不需要全部指明被统治/管理的事物；统治/支配= {noltru}；君主={nolraitru}； 纯粹民主= {roltrusi'o}；代议民主={rolka'itrusi'o}；总督={ka'itru}；纯粹共产主义= {kaurpo'esi'o}；董事会/指导委员会= {trukamni}；政府= {trugunma}/{trugri}/{truci'e}；参见 {catni}, {minde}, {tutra}, {jecta}, {gugde}, {ponse}, {jitro}.
tutci	gismu   	-tci-		      	x_1是为了做x_2（体现功能）的工具/道具/器具	参见 {cabra}, {minji}, se {pilno}, {zukte}, {sazri}；基本的工具类型： {salpo}, {pulni}, {cfine}, {klupe}, {jendu}, {xislu}, {vraga}, {smuci}, {dakfu}；特征： {balre}, {mruli}, {cinza}, {garna}, {pijne}, {pambe}, {canpa}, {pilno}, {vraga}
tutra	gismu   	-tut-		      	x_1是由x_2所控制的/属于x_2的领土/产业/领域/空间	参见 {catni}, {turni}, {jecta}, {gugde}, {ponse}, {steci}, {tumla}.
tyrontos	cmevla			      	多伦多
uacintyn	cmevla			      	华盛顿
UAcintyn	cmevla			      	华盛顿
ueb	cmevla			      	网络（台湾惯译作网路）	不同于“网页”
uikipedias	cmevla			      	维基百科	“维基”是一种技术，单用并不专指“维基百科”
uikis	cmevla			      	维基（又意译为“共笔”等）	一种网页技术
vacri	gismu   	-var-		      	x_1是行星x_2上的空气/大气层，具有组分x_3	参见 {gapci}, {kijno}, {trano}, {tumla}, {vasxu}, {xamsi}.
vajni	gismu   	-vaj-   	-vai-	      	x_1（物/事）对x_2（人/事）是重要的，在x_3方面/由于原因x_3（nu/ka）	也指：x_1关系到x_2，在x_3方面；参见 {banli}, {ralju}, {vamji}, {dirba}, {kargu}, {pajni}.
valsi	gismu   	-val-   	-vla-	      	x_1 是有着意义 x_2的词，从属于语言 x_3 (形容性：x_1 是词)	参见 {slaka}, {bangu}, {cmavo}, {cmene}, {gismu}, {jufra}, {rafsi}, {smuni}
vamji	gismu   	-vam-   	-va'i-	      	x_1（ni）是x_2的价值，对于x_3来说，具有用途/增值价值x_4	也指：x_2价值x_1，对x_3来说；x_2是有价值的；成就奖励={nemselva'i}；获得应得的回报= {vamselne'u}；x_2可指特定的物品/商品（团体）/事件/性质；语义上讲，在涉及物体/商品的所有权的转移时，使用{posyva'i},{posyselva'i}；参见 {jdima}, {jerna}, {vecnu}, {dirba}, {janta}, {kargu}, {pleji}, {vajni}；查看{jdima}的备注中关于花费/价格/价值的区别。
vamtu	gismu   	-vat-		      	x_1吐出/呕吐/反刍出x_2；x_1将x_2吐出来	x_2是非气态的；参见 {rigni}, {jetce}, {kafke}, {sputu}.
vanbi	gismu   	-vab-		      	x_1（个体/团体）是x_2所在环境/氛围	x_1是外界的/周遭环境的；参见 {va'o}, {sruri}, {jibni}, {jbini}, {ferti}, {tcini}.
vanci	gismu   	-vac-		      	x_1是傍晚/晚上（通常指结束工作直到睡眠那段时间），属于日期/天x_2，位置x_3	今晚= {cabvanci}；明晚= {bavlamvanci}；昨晚= {prulamvanci}；参见 {cerni}, {murse}, {tcika}.
vanju	gismu   	-van-		      	x_1是葡萄酒/果酒，来自葡萄/水果x_2	参见 {barja}, {birje}, {xalka}, {jikru}, {fusra}.
varcavas	cmevla			      	华沙	波兰首都
vasru	gismu   	-vas-   	-vau-	      	x_1包含/含有/包括x_2在里面；x_1是装有x_2的容器	参见 {bartu}, {jbini}, {nenri}, {zvati}, {cpana}, {botpi}, {lanka}.
vasxu	gismu   	-vax-   	-va'u-	      	x_1呼吸x_2（气体）	参见 {fepri}, {kijno}, {vacri}.
vecnu	gismu   	-ven-   	-ve'u-	      	x_1（卖家）卖/销售x_2（货物/服务/商品）给买家x_3，价格/交换物/花费为x_4	也指：x_1是售货员/销售员； x_3从x_1处购买x_2；x_4是x_2的价格；待售= {fitselve'u}/{selvenfriti}；x_2可指特定的物品/商品（团体）/事件/性质；语义上讲，在涉及物体/商品的所有权的转移时，使用{posyve'u}, {posyselve'u}参见 {canja}, {dunda}, {janta}, {pleji}, {jerna}, {kargu}, {prali}, {zarci}, {vamji}, {jdima}, {fepni}, {friti}, {jerna}, {rupnu}；查看{jdima}的备注中关于花费/价格/价值的区别。
vedli	experimental gismu			      	x_1记得经历x_2（li'i）	暗示x_1经历过x_2；参见 {morji}, {lifri}；建议其短rafsi为： -ve'i-
venfu	gismu   	-vef-		      	x_1报复x_2（人），因为事件x_3（nu），采取手段x_4（nu）	也指：报仇；x_1是报复的/有复仇心的；参见 {sfasa}, {cnemu}.
vensa	gismu   	-ves-		      	x_1 是 x_2 年在地点 x_3 的春天; (adjective:) x_1 如春	参见 {citsi}, {crisa}, {critu}, {dunra}.
verba	gismu   	-ver-   	-ve'a-	      	x_1是年纪/年龄为x_2的孩子/幼崽，基于成熟标准x_3	不必要是人类；参见 {cifnu}, {makcu}, {citno}, {panzi}, {nanla}, {nixli}, se {rirni}, {bersa}.
vibna	gismu   	-vib-		      	x_1是x_2的阴道（身体部位）	参见 {cinse}, {gletu}, {pinji}, {plibu}, {vlagi}, {mabla}.
vidni	gismu			      	x_1是显示器/屏幕，具有功能x_2	参见 {skina}, ve {tivni}.
vidru	gismu   	-vir-		      	x_1是病毒，属于种类/具有属性x_2，能够感染x_3	参见 {jurme}.
vifne	gismu   	-vif-		      	x_1是新鲜的/未损坏的	参见 {fusra}.
vikmi	gismu   	-vim-   	-vi'i-	      	x_1（身体）排出废物x_2，从来源x_3，以方式/路径x_4	参见 {cigla}, {kalci}, {pinca}, {xasne}.
viknu	gismu   	-vik-		      	x_1是浓的/粘滞的，在条件x_2下	参见 {denmi}, {snipa}.
vimcu	gismu   	-vic-   	-vi'u-	      	x_1从x_3中减去/扣去x_2，留下结果/剩余物/残留物x_4	也指：侵吞/没收；暗示了所有权的转让；参见 {lebna}, {muvdu}, {cpacu}, {canci}, {cliva}, {jdika}.
vindu	gismu   	-vid-		      	x_1对x_2来说是有毒的；x_1是毒素/毒药	参见 {since}.
vinji	gismu   	-vij-		      	x_1是飞行器/飞机，用于运载x_2，由x_3驱动	参见 {vofli}, {sabnu}.
vipsi	gismu   	-vip-		      	x_1是副职的，在x_2方面（ka，组织原则等），从属于主职x_3；x_1是副的x_3	也指：副官/助理；参见 {krati}, {sidju}.
virnu	gismu   	-vri-		      	x_1是勇敢的/英勇的/有胆量的，在行为x_2（事）中，基于标准x_3	参见 {terpa}, {darsi}.
viska	gismu   	-vis-   	-vi'a-	      	x_1看见x_2，在条件x_3下	也指：x_1关于视觉的；x_3可能包括环境光/背景光等（背景光会对被观察物产生影响；参见 {catlu}, {jvinu}, {kanla}, {minra}, {simlu}, {djuno}, {jimpe}, {zgana}, {ganse}.
vitci	gismu   	-vit-		      	x_1是无规律的/偶然的，在性质/行为x_2方面	参见 {ranji}, {rufsu}, {suksa}.
vitke	gismu   	-vi'e-		      	x_1是x_2的客人/访客，在位置x_3处/事件x_3中；x_1拜访/访问x_2（人）/x_3（位置/事件）	参见 {friti}, {klama}, {zasni}, {xabju}, {zvati}.
vitno	gismu   	-vi'o-		      	x_1是永恒的/长存的，在性质x_2（ka）方面，基于标准x_3	也指：永久的/不灭的；参见 {stodi}, {cimni}, {zasni}, {manfo}, {stali}.
vlagi	gismu   	-lag-		      	x_1是x_2的阴户（身体部位）	参见 {cinse}, {gletu}, {pinji}, {plibu}, {vibna}, {mabla}.
VLANDeren	cmevla			      	佛兰德斯	中世纪欧洲一伯爵领地, 包括现比利时的东佛兰德省和西佛兰德省以及法国北部部分地区
vlile	gismu   	-vil-		      	x_1（时间/状态）是暴力的	参见 {suksa}, {jursa}.
vlina	gismu			      	x_1是逻辑变换/分析，表示x_2（du'u）和/或x_3（du'u）为真	参见 {kanxe}, {a}, {ja}, {gi'a}, {gu'a}.
vlipa	gismu   	-vli-		      	x_1具有引发x_2的力量，在条件x_3下；x_1是强大的，在x_2方面，在条件x_3下	也指：强有力的/控制/掌握；参见 {tsali}, {jitro}, {ruble}.
vofli	gismu   	-vol-   	-voi-	      	x_1飞/飞行，使用抬升/推进方式x_2	参见 {cipni}, {klama}, {vinji}.
voksa	gismu   	-vok-   	-vo'a-	      	x_1是个体x_2的声音	参见 {sance}, {tirna}, {bacru}.
vorme	gismu   	-vor-   	-vro-	      	x_1是x_2与x_3之间的门，属于结构/建筑物x_4	实心门={vrogai}/{vrobi'u}/{vrozu'itci}；参见 {canko}, {ganlo}, {kalri}, {murta}, {pagre}, {bitmu}, {kuspe}.
vraga	gismu   	-vra-		      	x_1是杠杆，用于用途/功能/活动x_2，其支点为x_3，力臂为x_4	参见 {tutci}, {pulni}.
vreji	gismu   	-rej-   	-vei-	      	x_1是x_2（数据/事实/du'u）的记录/记载，关于x_3（物/事），保存于媒介x_4上	参见 {sorcu}, {datni}, {papri}.
vreta	gismu   	-vre-		      	x_1躺/卧在x_2上	参见 {cpana}, {surla}, {zutse}, {ckana}, {lazni}.
vrici	gismu			      	x_1（集合/团体/个体）是各种各样的/混杂的/多样的，在性质x_2（ka）上	参见 {klesi}, {girzu}, {frica}, {simsa}, {panra}.
vrude	gismu   	-vud-   	-vu'e-	      	x_1是善良的/有德的/圣洁的/正直的，基于标准x_2	神圣的= {cesyvu'e}；美德=ka {vrude}；参见 {palci}, {xamgu}, {marde}, {zabna}.
