va'i	cmavo			   	UI3      	換言 （va'i 換言 - va'inai 言葉通り）	心態詞（談話系）；「言い換えると」「ti na drani .i va'i do srera／それは違う。つまり、あなたの誤解だ。」 「va'i do tugni mi xu／それはつまり私に賛成してくれるということですか？」 「.i va'i mu'i ma do cusku lo judri／では質問のしかたを変えてみましょう、あなたが住所を言う動機は何ですか？」  ・読み方： ヴァヒ ・関連語： {cneselsku}
va'inai	cmavo-compound			   	UI*3      	言葉通り （va'i 換言 - va'inai 言葉通り）	心態詞（談話系）； 表現が同じであることを表す。 表される事物が同じであることを表す {mi'u} （BPFK の新しい意味）との違いに注意。「お言葉を返すようですが」「do raktu mi - .i va'inai go'i ra'o／おまえは厄介者だ。 ― お言葉を返すようですが、それはあなたの方です。」「le'o ko na rivli'a mi - .i va'inai go'i ra'o／やい、俺様から逃げるなよ。― それはこっちのセリフだ。」 「ti noi ka melbi cu krinu lo nu noda ve skicu - .i va'inai／この美しさには言葉を失う―まさしく」 「la gleki cu gleki va'inai ／喜さんが文字通り喜んでいる」 ・読み方： ヴァヒナイ
va'o	cmavo			   	BAI      	～を環境／状況として ： vanbi 法制詞, x_1	・読み方： ヴァホ
vau	cmavo			   	VAU      	bridi 終了 ： bridi の終わりを示す； 主に複文（複数の bridi 含む文）で複数の bridi に共通の sumti を切り出すのに用いる	「mi dunda lo jdini (x_2) gi'e cpacu lo cukta (x_2) vau do (x_3)／私（x_1）はお金（x_2）をあなた（x_3）にあげ、本（x_2）をあなた（x_3）から受け取る」 ・読み方： ヴァウ
va'u	cmavo			   	BAI      	～（良い何か）を享受して ： xamgu 法制詞, x_1	・読み方： ヴァフ
ve	cmavo   	-vel-		   	SE      	x_1-x_4 転換 ： selbri の左に付いてPSの x_1 と x_4 を転換する	・大意： x_1-x_4 転換 ・読み方： ヴェ
ve'a	cmavo			   	VEhA      	空間間隔・中 ： 間制詞（空間・間隔）	・読み方： ヴェハ
vebe'i	cmavo-compound			   	BAI*      	～から送って／受け取って ： benji 法制詞, x_4	・読み方： ヴェベヒ
veci'e	cmavo-compound			   	BAI*      	～を（体系／システムの）相乗作用として ： ciste 法制詞, x_4	・読み方： ヴェシヘ
vecu'u	cmavo-compound			   	BAI*      	～を表現媒体として ： cusku 法制詞, x_4	・読み方： ヴェシュフ
vede'i	cmavo-compound			   	BAI*      	～（暦）における日として ： detri 法制詞, x_4	・読み方： ヴェデヒ
vedu'o	cmavo-compound			   	BAI*      	～を認識体系／エピステモロジーとして ： djuno 法制詞, x_4	・読み方： ヴェドゥホ
ve'e	cmavo   	-ve'e-		   	VEhA      	空間間隔・全 ： 間制詞（空間・間隔）	・大意： テンス： 全空間隔 ・読み方： ヴェヘ
vefi'e	cmavo-compound			   	BAI*      	～（素材）から創って／～をインスピレーションとして ： finti 法制詞, x_4	・読み方： ヴェフィヘ
vega'a	cmavo-compound			   	BAI*      	～（条件）において観察して ： zgana 法制詞, x_4	・読み方： ヴェガハ
vei	cmavo			   	VEI      	数式左括弧 ：	・読み方： ヴェイ
ve'i	cmavo			   	VEhA      	空間間隔・小 ： 間制詞（空間・間隔）	・読み方： ヴェヒ
veka'a	cmavo-compound			   	BAI*      	～を経路／行路／筋道として ： klama 法制詞, x_4	・読み方： ヴェカハ
vemau	cmavo-compound			   	BAI*      	～（度量）の分多くて ： zmadu 法制詞, x_4	・読み方： ヴェマウ
veme'a	cmavo-compound			   	BAI*      	～（度量）の分少なくて ： mleca 法制詞, x_4	・読み方： ヴェメハ
ve'o	cmavo			   	VEhO      	数式右括弧 ：	・読み方： ヴェホ
vepa'a	cmavo-compound			   	BAI*      	～（基準）で並行して ： panra 法制詞, x_4	・読み方： ヴェパハ
vepu'e	cmavo-compound			   	BAI*      	～を（過程／プロセスの）段階として ： pruce 法制詞, x_4	・読み方： ヴェプヘ
verai	cmavo-compound			   	BAI*      	～（集合）の中で最上で ： traji 法制詞, x_4	・読み方： ヴェライ
vetai	cmavo-compound			   	BAI*      	～（性質）に関して類似して ： tamsmi 法制詞, x_4	・読み方： ヴェタイ
veti'u	cmavo-compound			   	BAI*      	～（場所）の時刻として ： tcika 法制詞, x_4	・読み方： ヴェティフ
ve'u	cmavo			   	VEhA      	空間間隔・大 ： 間制詞（空間・間隔）	・読み方： ヴェフ
vi	cmavo   	-viz-		   	VA      	～に／～の近くに／ここに ： 間制詞（空間・程度・小）	・大意： テンス： ここに ・読み方： ヴィ ・関連語： {stuzi}, {zvati}, {jibni}
vi'a	cmavo			   	VIhA      	空間カテゴリ・2次元 ： 間制詞（空間・カテゴリ）	・読み方： ヴィハ
vi'e	cmavo			   	VIhA      	空間カテゴリ・4次元 ： 間制詞（空間・カテゴリ）	・読み方： ヴィヘ
vi'i	cmavo			   	VIhA      	空間カテゴリ・1次元 ： 間制詞（空間・カテゴリ）	・読み方： ヴィヒ
vi'o	cmavo			   	COI      	承知 ：心態詞（呼応系）； 言われたことに従う	・読み方： ヴィホ
vi'u	cmavo			   	VIhA      	空間カテゴリ・3次元 ： 間制詞（空間・カテゴリ）	・読み方： ヴィフ
vo	cmavo   	-von-		   	PA1      	4 ： 数量詞；	・大意： 4 ・読み方： ヴォ
vo'a	cmavo			   	KOhA4      	主要 bridi の x_1 ： 代詞（sumti）；	・読み方： ヴォハ
vo'e	cmavo			   	KOhA4      	主要 bridi の x_2 ： 代詞（sumti）；	・読み方： ヴォヘ
voi	cmavo			   	NOI      	叙述 bridi ： 関係詞（非制限）； 左の sumti を主観的に叙述する bridi を結びつける； この bridi が真に sumti に当てはまるとは限らない	・読み方： ヴォイ
vo'i	cmavo			   	KOhA4      	主要 bridi の x_3 ： 代詞（sumti）；	・読み方： ヴォヒ
vo'o	cmavo			   	KOhA4      	主要 bridi の x_4 ： 代詞（sumti）；	・読み方： ヴォホ
vo'u	cmavo			   	KOhA4      	主要 bridi の x_5 ： 代詞（sumti）；	・読み方： ヴォフ
vu	cmavo   	-vuz-		   	VA      	～のあそこに／むこうに／遠くに ： 間制詞（空間・程度・大）	「vu ja vi ku lo bonsna pu co'a ca ca'o durcarvi／遠く近く波音のしぐれてくる」（山頭火『行乞記（二）』） ・大意： テンス： あそこに ・読み方： ヴ ・関連語： {darno}, {vi}, {va}
vu'a	cmavo			   	FAhA1      	～の西方に／西側で ： 間制詞（空間・方向）；	・読み方： ヴハ
vu'e	cmavo			   	UI5      	徳／誉れ （ vu'e 徳／誉れ - vu'enai 罪／穢れ）	心態詞（修飾系）； ・読み方： ヴヘ  ・関連語： {vrude}, {zungi}
vu'enai	cmavo-compound			   	UI*5      	罪／穢れ （ vu'e 徳／誉れ - vu'enai 罪／穢れ）	心態詞（修飾系）； ・読み方： ヴヘナイ
vu'i	cmavo			   	LAhE      	～の序列／配列 ： 限定詞； sumti の左に付いて、その sumti に含意される序列／配列を抽出する	・読み方： ヴヒ
vu'o	cmavo			   	VUhO      	広範囲関係詞結合 ： 複数の sumti に関係詞を結びつける； 最後の sumti と最初の関係詞の間に置く	「lo gerku .e lo mlatu vu'o poi pendo mi／私の友達である犬と猫」 ・読み方： ヴホ
vu'u	cmavo			   	VUhU1      	引き算 ： 数理演算子（n変数）； [(((a - b) - c) - ...)]	・読み方： ヴフ
vy	cmavo			   	BY2      	v ： 字詞；	・読み方： ヴォァ
xa	cmavo   	-xav-		   	PA1      	6 ： 数量詞；	・大意： 6 ・読み方： クァ
xai	experimental cmavo			   	KOhA5      	既出の sumti のいくつか（複数）に取って代わる ： 代詞（sumti）；	試験的 cmavo。「lo pulji cu bajra jersi lo zerle'a i xai tatpi／警官が泥棒を追いかけた。両者とも疲れた。」 ・読み方： クァイ ・関連語：{ra}, {ri}, {ru}
xa'o	experimental cmavo			   	ZAhO      	早発 ： 相制詞； 既に； 早過ぎて； za'o の反対	試験的 cmavo。 ・読み方： クァホ
xe	cmavo   	-xel-		   	SE      	x_1-x_5 転換 ： selbri の左に付いてPSの x_1 と x_5 を転換する	・大意： x_1-x_5 転換 ・読み方： クェ
xebe'i	cmavo-compound			   	BAI*      	~を送信経路として ： benji 法制詞, x_5	・読み方： クェベヒ
xei	experimental cmavo			   	PA2      	16進法E/10進法14 ： 数量詞；	{rei} は {re} と聞き間違えやすいので、 {rei} の代わりに使われる試験的 cmavo。 ・読み方： クェイ
xeka'a	cmavo-compound			   	BAI*      	~を移動手段として ： klama 法制詞, x_5	・読み方： クェカハ
xe'u	experimental cmavo			   	GOhA      	ラムダ ： 抽象節内において焦点となる selbri の箇所にそのまま代えて置く	第3階以上の述語論理を表現するときに、NU類で作られる抽象節を冠頭に置くために使われる。使用例は {bu'ai} を参照。 ・読み方： クェフ ・関連語： {ce'u}, {bu'ai}.
xi	cmavo			   	XI      	添字造成 ： 数量詞の左に付いてそれを添字（小さな上付き／下付き文字）扱いにする	・読み方： クィ
xo	cmavo			   	PA5      	数量質問 ： 数量詞； PAの代わりに置いて返答を喚起する；	「xo prenu ti zvati／ここには幾つの人がいるの？」 ・読み方： クォ
xo'e	experimental cmavo			   	PA5      	不特定の数：数量詞；	「ある数」。 no'o と違い、典型的な数であるとは限らない。 試験的 cmavo。 ・読み方： クォヘ ・関連語： {no'o}, {zo'e}; {tu'o}, {xo}, {co'e}, {do'e}
xo'i	experimental cmavo			   	XOhI      	タグからセルブリを抜き出す； fi'o の逆；	「xo'i bau」 = 「bangu」。一般に、「xo'i fi'o broda」 = 「broda」
xu	cmavo			   	UI6      	真偽質問	心態詞（談話系）； 対象が真か偽かを尋ねる気持； 「ti se citka do xu／これを食べたのは君か？」「ti se citka xu do／君はこれを食べたのか？」 ・読み方： クゥ
xy	cmavo			   	BY2      	x ： 字詞；	・読み方： クァ
y	cmavo			   	Y      	躊躇 ： 言葉のつっかえを表す； どこにでも挿入できる	「ええっと・・・」 ・読み方： ァ
ybu	bu-letteral			      		y ： 字詞	・読み方： ァブ
y'y	cmavo			   	BY2      	： 字詞	・読み方： ァファ
za	cmavo			   	ZI      	時間程度・中 ： 間制詞（時間・程度）	・読み方： ザ
za'a	cmavo			   	UI2      	観察	心態詞（認識系）； 何かを観察している／眺めている情況を表す ・読み方： ザハ  ・関連語： {zgana}, {lanli}
za'e	cmavo			   	BAhE      	臨時語造成 ： 後続の語が臨時に造られたものであること、非公式・非標準かもしれないことを示す	・読み方： ザヘ
zai	cmavo			   	LAU      	表記文字選択 ： 表記文字体系の選択子が次に続くことを示す	・読み方： ザイ
za'i	cmavo   	-zaz-		   	NU1      	抽象・状態 ： 抽象詞； bridi の左に付いて、その bridi が内包する状態を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される状態	・大意： 抽象： 状態 ・読み方： ザヒ  ・関連語： {zasni}, {zasti}, {tcini}
za'o	cmavo   	-za'o-		   	ZAhO      	延続 ： 相制詞； ~の自然な終了時点からさらに継続して；	「(ca'o lo cerni) za'o kelci／（朝から）ずっと遊び過ぎている」「lo cmana rutrkaki po le cmana malsi zo'u za'o makcu／山寺の山柿のうれたまゝ」（山頭火『行乞記（二）』） ・大意： テンス： 延続 ・読み方： ザホ ・関連語： {dukse}
zau	cmavo			   	BAI      	~に承認されて ： zanru 法制詞, x_1	・読み方： ザウ
za'u	cmavo			   	PA3      	~以上の／~よりも多くの ： 数量詞；	・読み方： ザフ
ze	cmavo   	-zel-		   	PA1      	7 ： 数量詞；	・大意： 7 ・読み方： ゼ
ze'a	cmavo			   	ZEhA      	時間隔・中 ： 間制詞（時間・間隔）	・読み方： ゼハ
ze'e	cmavo   	-ze'e-		   	ZEhA      	時間隔・全 ： 間制詞（時間・間隔）	・大意： テンス： 全時間隔 ・読み方： ゼヘ
ze'ei	experimental cmavo			   	SI      	cmavo 造成： 2つの単語の間に置き、意味上は前者、文法上は後者と同じになるような新語を形成する	「{zo'e} ze'ei {pa}／不特定の数（＝{xo'e}）」 ・読み方： ゼヘイ
zei	cmavo			   	ZEI      	lujvo 結合 ： 左右の語を lujvo の要素として結合させる；	「.ui zei batke／ニコニコマークのボタン」「.obaman. zei jecta／オバマ政権」 ・読み方： ゼイ
ze'i	cmavo			   	ZEhA      	時間隔・小 ： 間制詞（時間・間隔）	・読み方： ゼヒ
ze'o	cmavo   	-zev-   	-ze'o-	   	FAhA4      	~よりも外側へ／~から遠ざかって ： 間制詞（空間・方向）；	・大意： テンス： 外向 ・読み方： ゼホ
ze'u	cmavo			   	ZEhA      	時間隔・大 ： 間制詞（時間・間隔）	・読み方： ゼフ
zi	cmavo			   	ZI      	時間程度・小 ： 間制詞（時間・程度）	・読み方： ズィ
zi'e	cmavo			   	ZIhE      	関係句結合 ： 左右の関係句を結合する； 関係句の拡張に用いる； 「lo gerku poi blabi zi'e noi pendo mi／白い、そして私の友達である、犬」	・読み方： ズィヘ
zi'o	cmavo   	-zil-		   	KOhA7      	不在 sumti ： 代詞（sumti）； PS上の特定の項を消去する	・大意： 不在項 ・読み方： ズィホ
