a	cmavo   \nA      \nlogical connective: sumti afterthought or.
selma'o &quot;BIhI&quot;	cmavrbi'i
selma'o &quot;BO&quot;	cmavrbo
selma'o &quot;BOI&quot;	cmavrboi
selma'o &quot;BU&quot;	cmavrbu
selma'o &quot;CAhA&quot;	cmavrca'a
selma'o &quot;CAI&quot;	cmavrcai
selma'o &quot;CEhE&quot;	cmavrce'e
selma'o &quot;CEI&quot;	cmavrcei
selma'o &quot;CO&quot;	cmavrco
selma'o &quot;COI&quot;	cmavrcoi
selma'o &quot;CU&quot;	cmavrcu
selma'o &quot;CUhE&quot;	cmavrcu'e
selma'o &quot;DAhO&quot;	cmavrda'o
selma'o &quot;Y&quot;	cmavrdepsna
selma'o &quot;DOI&quot;	cmavrdoi
selma'o &quot;DOhU&quot;	cmavrdo'u
selma'o &quot;FA&quot;	cmavrfa
selma'o &quot;FAhA&quot;	cmavrfa'a
selma'o &quot;FAhO&quot;	cmavrfa'o
selma'o &quot;FEhE&quot;	cmavrfe'e
selma'o &quot;FEhU&quot;	cmavrfe'u
selma'o &quot;FIhO&quot;	cmavrfi'o
selma'o &quot;FOI&quot;	cmavrfoi
selma'o &quot;FUhA&quot;	cmavrfu'a
selma'o &quot;FUhE&quot;	cmavrfu'e
selma'o &quot;FUhO&quot;	cmavrfu'o
selma'o &quot;GA&quot;	cmavrga
selma'o &quot;GAhO&quot;	cmavrga'o
selma'o &quot;GEhU&quot;	cmavrge'u
selma'o &quot;GI&quot;	cmavrgi
selma'o &quot;GIhA&quot;	cmavrgi'a
selma'o &quot;GOhA&quot;	cmavrgo'a
selma'o &quot;GOI&quot;	cmavrgoi
selma'o &quot;GUhA&quot;	cmavrgu'a
selma'o &quot;JA&quot;	cmavrja
selma'o &quot;JAI&quot;	cmavrjai
selma'o &quot;JOI&quot;	cmavrjoi
selma'o &quot;JOhI&quot;	cmavrjo'i
selma'o &quot;KE&quot;	cmavrke
selma'o &quot;KEhE&quot;	cmavrke'e
selma'o &quot;KEI&quot;	cmavrkei
selma'o &quot;KI&quot;	cmavrki
selma'o &quot;KOhA&quot;	cmavrko'a
selma'o &quot;KU&quot;	cmavrku
selma'o &quot;KUhE&quot;	cmavrku'e
selma'o &quot;KUhO&quot;	cmavrku'o
selma'o &quot;LA&quot;	cmavrla
selma'o &quot;LAhE&quot;	cmavrla'e
selma'o &quot;LAU&quot;	cmavrlau
selma'o &quot;LE&quot;	cmavrle
selma'o &quot;BY&quot;	cmavrlerfu
selma'o &quot;LEhU&quot;	cmavrle'u
selma'o &quot;LI&quot;	cmavrli
selma'o &quot;LIhU&quot;	cmavrli'u
selma'o &quot;LOhO&quot;	cmavrlo'o
selma'o &quot;LOhU&quot;	cmavrlo'u
selma'o &quot;LU&quot;	cmavrlu
selma'o &quot;LUhU&quot;	cmavrlu'u
selma'o &quot;MAI&quot;	cmavrmai
selma'o &quot;MAhO&quot;	cmavrma'o
selma'o &quot;ME&quot;	cmavrme
selma'o &quot;MEhU&quot;	cmavrme'u
selma'o &quot;MOhE&quot;	cmavrmo'e
selma'o &quot;MOI&quot;	cmavrmoi
selma'o &quot;MOhI&quot;	cmavrmo'i
selma'o &quot;NA&quot;	cmavrna
selma'o &quot;NAhE&quot;	cmavrna'e
selma'o &quot;NAI&quot;	cmavrnai
selma'o &quot;NAhU&quot;	cmavrna'u
selma'o &quot;NIhE&quot;	cmavrni'e
selma'o &quot;NIhO&quot;	cmavrni'o
selma'o &quot;NOI&quot;	cmavrnoi
selma'o &quot;NU&quot;	cmavrnu
selma'o &quot;NUhA&quot;	cmavrnu'a
selma'o &quot;NUhI&quot;	cmavrnu'i
selma'o &quot;NUhU&quot;	cmavrnu'u
selma'o &quot;PA&quot;	cmavrpa
selma'o &quot;PEhE&quot;	cmavrpe'e
selma'o &quot;PEhO&quot;	cmavrpe'o
selma'o &quot;PU&quot;	cmavrpu
selma'o &quot;SA&quot;	cmavrsa
selma'o &quot;SE&quot;	cmavrse
selma'o &quot;SEI&quot;	cmavrsei
selma'o &quot;SEhU&quot;	cmavrse'u
selma'o &quot;SI&quot;	cmavrsi
selma'o &quot;SOI&quot;	cmavrsoi
selma'o &quot;SU&quot;	cmavrsu
selma'o &quot;TAhE&quot;	cmavrta'e
selma'o &quot;TEI&quot;	cmavrtei
selma'o &quot;TEhU&quot;	cmavrte'u
selma'o &quot;TO&quot;	cmavrto
selma'o &quot;TOI&quot;	cmavrtoi
selma'o &quot;TUhE&quot;	cmavrtu'e
selma'o &quot;TUhU&quot;	cmavrtu'u
selma'o &quot;UI&quot;	cmavrui
selma'o &quot;VA&quot;	cmavrva
selma'o &quot;VAU&quot;	cmavrvau
selma'o &quot;VEhA&quot;	cmavrve'a
selma'o &quot;VEI&quot;	cmavrvei
selma'o &quot;VEhO&quot;	cmavrve'o
selma'o &quot;VIhA&quot;	cmavrvi'a
selma'o &quot;VUhO&quot;	cmavrvu'o
selma'o &quot;VUhU&quot;	cmavrvu'u
selma'o &quot;A&quot;	cmavrxavo
selma'o &quot;XI&quot;	cmavrxi
selma'o &quot;I&quot;	cmavrxivo
selma'o &quot;ZAhO&quot;	cmavrza'o
selma'o &quot;ZEhA&quot;	cmavrze'a
selma'o &quot;ZI&quot;	cmavrzi
selma'o &quot;ZIhE&quot;	cmavrzi'e
selma'o &quot;ZO&quot;	cmavrzo
selma'o &quot;ZOhE&quot;	cmavrzo'e
selma'o &quot;ZOI&quot;	cmavrzoi
pony	cmaxi'a
hut	cmazda
small nest	cmazda
decrease : in amount	cmaze'a
decrease : become diminished	cmaze'a
shrink : become diminished	cmaze'a
shrink	cmaze'a
decrease : make smaller	cmazengau
increase in smallness : agentive	cmazengau
claustrophobic	cmazvakemnoryraclyte'a
anonymous	cmecau
nomenclature	cmeci'e
nominal scale	cmeci'u
name : reference word	cmene
title : name	cmene
Linnaean name	cmenrline
onomastics	cmeske
onomatology	cmeske
onomasticon	cmeste
fractally applicative	cmeta
meta : X about X; fractally applicative	cmeta
meta abstraction : X about X; fractally applicative; (pictorally, beyond, beside, or higher up)	cmeta
name badge	cmetcita
nameplate	cmetcita
name tag	cmetcita
register : enroll as user of computer resource	cmeveigau
name : morphological	cmevla
cmevla-based name	cmevycme
initiate : of a group	cmibi'o_1
join : a group	cmibi'o
vote : action	cmicu'a
voting membership : group of eligible voters	cmicu'a_4
political franchise	cmicu'akrali
suffrage : the right to vote	cmicu'akrali
group : put together	cmigau
laugh	cmila
belong to : be a member of	cmima
member	cmima
logged in 	cmisau
register : enroll in program or organization	cmiveigau
participate	cmizu'e
moan	cmoni
kind of element : chemical	cmuxu'i_2
purity	cmuxu'i_3
axiom	cmuzilkri
creed	cmuzilkri
doctrine	cmuzilkri
postulate	cmuzilkri
chisel : tool	cnadakfu
angular momentum : physics	cnampetu
momentum : physics; angular	cnampetu
average : norm	cnano
norm : average	cnano
Natufian : Epipaleolithic culture	cnatufi
neck	cnebo
reward	cnemu
derivative : mathematical	cneparbi
orderly	cnici
hurt : be in emotional pain	cnicro
pain, be in : emotionally	cnicro
show emotion	cnija'o
excite : stir the emotions of	cnijicla
empathize : feel empathy	cnikansa
attitudinal	cnima'o
interjection	cnima'o_1
therapist	cnimikce
new	cnino
feeling : sensibility	cnirango
sense : sensibility	cnirango
sensibility	cnirango
touched : emotionally	cniri'a_2
lead	cnisa
heart : emotional self	cnise'i
express emotion	cnisku
beneath	cnita
under : beneath	cnita
mood : emotional state	cnitcini
hurt : wound emotions	cnixai
offend : wound emotions	cnixai
spite : offend	cnixai
talweg	cnorailu'a
thalweg 	cnorailu'a
New World	cnurmje
tanru inversion	co
initiative	co'a
inchoate	co'arbi'o
incipient	co'arbi'o
start to become	co'arbi'o
begins to express	co'asku
starts to say	co'asku
charades	cocyci'ekei
gesture-game	cocyci'ekei
do : perform/act something	co'e
do/is something	co'e
unspecif bridi	co'e
greetings	coi
achievative	co'i
perfective : achievative	co'i
greetings in passing	coico'o
soak up	cokcu
deep	condi
partings	co'o
body language	corci
facial expression : generalized	corci
gesture	corci
posture : body position; generalized (expressive)	corci
signal : of the body; gesture, expression, body language, etc.	corci
stature : body position/posture; generalized (expressive)	corci
pain	cortu
cessative	co'u
cancel upvote or downvote	co'udzau
abort waiting	co'urde'a
quit waiting	co'urde'a
stop waiting	co'urde'a
relieved	co'urdu'u
get	cpacu
upon	cpana
cause to be on top	cpanygau
cause to lie on : cause to be on top	cpanygau
cause to rest on : cause to be on top	cpanygau
mount : sex	cpanygle
ride : sex	cpanygle
decline : refuse	cpapro
refuse : decline	cpapro
climb	cpare
Pavlovian Upper Paleolithic culture/technology : Upper Paleolithic culture/industry (archaeological sense)	cpavlofi'ai
receive : accept with consent	cpazau
take : accept with consent	cpazau
ask : make a request	cpedu
Perigordian : paleolithic industry (archaeological sense)	cpeirigordi
Périgordian : paleolithic industry (archaeological sense)	cpeirigordi
ask each other for	cpesi'u
ask for by saying	cpesku
request by saying	cpesku
accede	cpetinbe
comply : carry out	cpezu'e
griffin	cpicinfo
griffon	cpicinfo
gryphon	cpicinfo
cockatoo	cpikakadu
kiwi : bird	cpikiui
pungent	cpina
prickly plant	cpinyspa
spiky plant	cpinyspa
thistle	cpinyspa
hot spice	cpinytsapi
European magpie : bird (Pica pica)	cpipika
Pica pica : magpie	cpipika
giant moa : bird (genus Dinornis)	cpirdinorni
emu : bird (genus Dromaius)	cpiremu
elephant bird : bird (genus Aepyornis)	cpirepiorni
cassowary : bird (genus Casuarius)	cpirkasuari
kiwi : bird (genus Apteryx)	cpirkivi
rhea : bird (genus Rhea)	cpirlre'a
tinamou : bird (genus Rhynchotus)	cpirlrinkotu
tinamou : bird (genus Nothoprocta)	cpirnotoprokta
tinamou : bird (genus Nothura)	cpirnotura
scarecrow	cpitepygau
bird's nest	cpizda
coefficient : polynomial	cpolinomi'a
coefficient ring : of polynomial	cpolinomi'a
degree : polynomial	cpolinomi'a_1
indeterminant : of formal polynomial	cpolinomi'a
polynomial : formal, ring element (not as: a function or a funcion evaluated at a particular input value)	cpolinomi'a
ox : cattle (draft/draught animal)	cpubakni
carriage : vehicle	cpudalcarce
equipage 	cpudalcarce
horse cab	cpudalcarce
tractor	cpumi'i
pull : change place	cpumuvgau
harpsichord : keyboard musical instrument	cpupi'o_1
radio	cradi
radio receiver/transmitter	cradyvelcradi
radio transceiver	cradyvelcradi
radio transmitter/receiver	cradyvelcradi
transceiver : radio	cradyvelcradi
heads-up display	crakemsazycimde_1
HUD : heads-up display	crakemsazycimde
advance : go forward	crakla
come forward	crakla
go forward	crakla
progress : go forward	crakla
anteroom	craku'a
initial : letter	crale'u
front : anterior	crane
frontmost	crarai
front entrance	cravro
front cover illustration	craxra
front cover image	craxra
front cover picture	craxra
learner : expertise	crebi'o_1
master : learn to a high degree of proficiency	crebi'o
subject learned [about]	crebi'o_2
profession : job requiring a high level of skill or training	crejibri
shirt	creka
barista : coffee making expert	crekafpra
rank : skill level	crelai
skill level : rank	crelai
practice : exercize	crenzuue
harvest	crepu
protip	creti'i
handle : manage skillfully	cretro
geek	crexalbo
geeky subject	crexalbo_2
nerd	crexalbo
oddball	crexalbo
exercise : practice	crezenzu'e
practice : exercise	crezenzu'e
bear	cribe
demon	crida
fairy	crida
gnome : mythical creature	crida
goblin : mythical creature	crida
science of elves	cridyske
science of fairies	cridyske
science of gnomes	cridyske
science of goblins	cridyske
science of mythical humanoids	cridyske
science of pixies	cridyske
science of sprites	cridyske
prawn : general: no restrictions	crimprau
shrimp : general: no restrictions	crimprau
green	crino
bridge	cripu
summer	crisa
autumn	critu
painkiller	crofanta
cause pain : agent	crogau
hurt : agent inflicting pain	crogau
sadomasochist	crogle
cause pain : event	crori'a
hurt : event inflicting pain	crori'a
hot : spicy taste	crovu'i
spicy : hot taste	crovu'i
action permitted : by rule	crujva_2
allow : rule	crujva
permit : rule	crujva
rule : permitting	crujva_1
rule sysetm : permitting	crujva_3
rule system : permitting	crujva_3
sufficient : condition	crutcini_1
type : type theory	ctaipe
audit committee	ctakamni_1
raccoon dog	ctanuki
tanuki	ctanuki
tide	ctaru
lip	ctebi
chuck-will's-widow	ctecmocpi
goatsucker	ctecmocpi
nightjar	ctecmocpi
poorwill	ctecmocpi
whippoorwill	ctecmocpi
dew	ctejau_1
tax	cteki
dark of night	ctemanku
midnight	ctemidju
nocturnal	ctenalcando
Chinese checkers	cternalmat
nightingale	ctesa'acpi
supper	ctesai
chopsticks	cticinza
order : a meal	cticpe
knife : cutlery	ctidakfu
table knife	ctidakfu
appetite	ctidji
feed : give food	ctigau
feeder : that which feeds	ctigau_1
bowl : deep container for food	ctikabri
tablespoon : item of cutlery	ctikembrasmuci
dining room	ctiku'a
oil : petroleum	ctile
petroleum	ctile
oil lamp : using petroleum-based products	ctilytergu'i
fuel tank	ctilyvau
gas tank	ctilyvau
shadow	ctino
dietician	ctipla_1
set up a diet	ctipla
banquet	ctisla
feast : elaborate formal dinner	ctisla
cutlery	ctitci
edible	ctixau
hectoday : hundred day unit	ctodje
smurf : fictional word	ctrumfi
Smurf : fictional being	ctrumfi
teach	ctuca
education : system of imparting knowledge	ctuci'e_1
institution : established organisation	ctuci'e_3
policy : plan of action	ctuci'e_2
textbook	ctucku
class : lesson	ctufau
course : series of lessons	ctufau
lesson	ctufau
instructions	ctunoi
lecture	ctununta'a_1
lecturer	ctununta'a_2
selbri separator	cu
absolute value : mekso operator	cu'a
elector : member of electorate	cu'acmi
electorate	cu'acmi_2
member of electorate	cu'acmi
magnitude : vector	cu'ai
norm : vector	cu'ai
absolute difference : of numbers	cu'alvu'u
die : gaming die	cu'arkubli_1
dimensions : of a polyhedral	cu'arkubli_4
sides : of a polyhedral	cu'arkubli_2
state : of a polyhedral	cu'arkubli_3
binomial coefficient	cu'au'ei
choose function	cu'au'ei
multinomial coefficient	cu'au'ei
absolute value function : mathematics	cu'a zei fancu_1
ice skate : vehicle	cucma'e
inline skate : vehicle	cucma'e
rollerblade : vehicle	cucma'e
roller skate : vehicle	cucma'e
heel : shoe	cucti'e
barefoot	cucycau
toe : shoe	cucydegji
modal ?	cu'e
change of speaker	cu'ei
Change in  Speaker : ko'a	cu'ei'a
change to speaker 1 : ko'a	cu'ei'a
Speaker Change : ko'a	cu'ei'a
change speaker : first person	cu'ei'ai
change to first person speaker : within quotation	cu'ei'ai
change to speaker 2 : ko'e	cu'ei'e
change speaker : third person	cu'ei'ei
change to speaker 3 : ko'i	cu'ei'i
change to speaker 4 : ko'o	cu'ei'o
change speaker : second person	cu'ei'oi
change to speaker 5 : ko'u	cu'ei'u
neutral emotion	cu'i
pie-chart	cukcartu
circle : disk	cukla_1
round : 2-dimensional	cukla
circle : move around	cukli'u
move around	cukli'u
computer disk	cukmakyvelvei
disk	cukmakyvelvei
diskette	cukmakyvelvei
floppy disk	cukmakyvelvei
hard disk	cukmakyvelvei
magnetic disk	cukmakyvelvei
CD : recording medium	cukmirvelvei
compact disc	cukmirvelvei
DVD : recording medium	cukmirvelvei
laser disc	cukmirvelvei
optical disc	cukmirvelvei
completely round	cukmu'o
full : moon	cukmu'o
number π	cukpabna'u
CLL grammar	cukre
frisbee : ultimate frisbee	cukrerkavjvi
frisbee game : ultimate frisbee game	cukrerkavjvi_2
frisbee player : frisbee player or team	cukrerkavjvi_1
ultimate : ultimate frisbee	cukrerkavjvi
ultimate frisbee	cukrerkavjvi
book	cukta
circle : shape	cuktai
gramophone record	cukyku'ovelvei
LP : record	cukyku'ovelvei
record : gramophone record	cukyku'ovelvei
compass : draw circles	cukyxratci
beg : implore	culcpe
beseech	culcpe
humbly ask for	culcpe
implore	culcpe
supplicate	culcpe
full	culno
whole : entirety	culno_1
enable : to happen	cumgau
possible	cumki
humble	cumla
sales lead	cumnunve'u
sales opportunity	cumnunve'u
conceivable	cumselpei
science fiction : exploration of possible worlds	cumymu'efi'a
gamble : play for money	cundinkei
play lottery	cundinkei
cut : shuffled cards	cunfai
shuffled : randomly distributed	cunfai
cut : shuffle cards	cunfaigau
shuffle : randomly distribute	cunfaigau
millet	cunmi
bump into : meet by chance	cunpe'i
random	cunso
affair	cuntu
random number	cunyna'u
probability selbri	cu'o
round trip : travel	cupli'u
produce	cupra
producer	cupra_1
product : amount created by a process	cupra_2
looped ribbon	cupsri
circularly ordered sequence	cupypoi
circular sequence	cupypoi
let	curmi
permit	curmi
worm	curnu
Hydrozoa	curnxidrozo'a
hydrozoan	curnxidrozo'a
pure	curve
spokesman : non-gender-neutral version of spokesperson	cuska'i
spokesperson	cuska'i
spokeswoman : non-gender-neutral version of spokesperson	cuska'i
audience : receiver of expression	cusku_3
express	cusku
expresser	cusku_1
expression : expressed information	cusku_2
listener	cusku_3
medium : communication format	cusku_4
mention	cusku
say	cusku
adapt : change text	cusku'i
edit	cusku'i
edit : change text	cusku'i
editor	cusku'i_1
revise	cusku'i
magnitude : for/of vector; brivla	cusna
size : for/of vector	cusna
freedom of expression	custerzi'e
freedom of speech	custerzi'e
shoe	cutci
chest : anatomy	cutne
rib : bone	cutybo'u
ribcage	cutygreku
back : body-part	cutyti'e
upper back : body-part	cutyti'e
as said by	cu'u
as said by it-1	cu'u ko'a
businessman	cu'upre
closed : non-access to organized activity	cu'urga'o
open : access to organized activity	cu'urkalri
choose : select something to be in a certain relation with it	cu'uxna
bacteriology	cuvjumske
choice	cuxna_1
choose	cuxna
pick : decide between options	cuxna
filter	cuxselgre_1
hesitate : between options	cuxselnandu
hesitate : trying to choose	cuxtoi
trying to choose	cuxtoi
c	cy
CIA	cy'i'am
something 1	da
all except	da'a
but : except	da'a
except : excluding	da'a
append prime mark : math	da'a'au
not me	da'ai
is penultimate among	da'amoi
least possible number + n	da'ane'e
is antepenultimate	da'aremoi
fight : each other	da'arsi'u
argue : quarrel	da'arta'a
quarrel	da'arta'a
argue : disagree	da'asnu
argue : disagree angrily	da'asnu
debate : debate angrily	da'asnu
debate : disagree	da'asnu
forgetful something : pro-sumti	da'au
memory-less da : pro-sumti	da'au
armor	dabycalku
wargame : simulation	dabysmifau
fighting technique	dabytadji
martial art	dabytadji_1
martial artist	dabytadji_3
drawer	dacru
object	dacti
drawer pull	dacybatke_1
hang : suspend	dadgau
hanger : one who hangs	dadgau_1
hung : item that is hung	dadgau_2
suspend : hang	dadgau
to hang (tr.)	dadgau
hanging rack	dadgreku
pendant : jewellery	dadja'i_1
Taoist	dadjo
hang : kill by hanging	dadycatra
hanged	dadycatra_2
lynch	dadycatra
lyncher	dadycatra_1
hammock	dadycka
hanging bridge	dadycripu
pendant bridge	dadycripu
